geo_id,zipcode,population
8600000US50011,50011,1390
8600000US02839,2839,1902
8600000US25812,25812,1902
8600000US80435,80435,7278
8600000US29323,29323,14446
8600000US01097,1097,111
8600000US76311,76311,7535
8600000US87527,87527,880
8600000US46923,46923,8048
8600000US10601,10601,11376
8600000US79703,79703,20592
8600000US96084,96084,625
8600000US77340,77340,29809
8600000US30909,30909,41585
8600000US96789,96789,54129
8600000US82412,82412,626
8600000US56228,56228,882
8600000US62022,62022,1138
8600000US35594,35594,7794
8600000US49955,49955,371
8600000US25845,25845,627
8600000US83118,83118,1139
8600000US16354,16354,11379
8600000US40741,40741,21875
8600000US77583,77583,28531
8600000US53204,53204,42355
8600000US27107,27107,46963
8600000US26684,26684,116
8600000US57755,57755,116
8600000US07067,7067,18036
8600000US95492,95492,28532
8600000US67523,67523,373
8600000US49325,49325,1909
8600000US29659,29659,118
8600000US04982,4982,630
8600000US15690,15690,9078
8600000US23662,23662,12150
8600000US66852,66852,631
8600000US28371,28371,6519
8600000US21626,21626,120
8600000US27340,27340,120
8600000US67658,67658,120
8600000US38049,38049,4984
8600000US68847,68847,16504
8600000US75401,75401,18552
8600000US01350,1350,121
8600000US18824,18824,1401
8600000US47964,47964,122
8600000US57621,57621,378
8600000US65067,65067,379
8600000US82221,82221,635
8600000US79518,79518,124
8600000US55963,55963,4988
8600000US96071,96071,125
8600000US28215,28215,53629
8600000US18955,18955,1662
8600000US27291,27291,1662
8600000US07716,7716,8574
8600000US50454,50454,127
8600000US17213,17213,639
8600000US72156,72156,639
8600000US48413,48413,7551
8600000US48039,48039,7807
8600000US17056,17056,128
8600000US59525,59525,384
8600000US62835,62835,1152
8600000US45673,45673,385
8600000US49910,49910,385
8600000US74754,74754,385
8600000US45153,45153,1665
8600000US51632,51632,7297
8600000US15068,15068,38785
8600000US10463,10463,67970
8600000US46950,46950,643
8600000US25243,25243,899
8600000US39332,39332,1923
8600000US85396,85396,12163
8600000US27253,27253,29827
8600000US68980,68980,388
8600000US61489,61489,900
8600000US35447,35447,3460
8600000US93636,93636,11908
8600000US80911,80911,30596
8600000US69027,69027,133
8600000US17850,17850,645
8600000US34473,34473,17029
8600000US61545,61545,646
8600000US66963,66963,135
8600000US64733,64733,1159
8600000US36856,36856,3719
8600000US43074,43074,11655
8600000US10036,10036,24711
8600000US32566,32566,33671
8600000US95228,95228,3976
8600000US25213,25213,5512
8600000US28269,28269,71048
8600000US48178,48178,29320
8600000US19335,19335,46984
8600000US23389,23389,137
8600000US79053,79053,137
8600000US32350,32350,1417
8600000US53083,53083,20362
8600000US50218,50218,139
8600000US57529,57529,395
8600000US99330,99330,907
8600000US43462,43462,1163
8600000US21543,21543,140
8600000US78585,78585,396
8600000US49623,49623,1164
8600000US83833,83833,1164
8600000US11693,11693,11916
8600000US08829,8829,3725
8600000US13215,13215,15245
8600000US64155,64155,21901
8600000US04779,4779,398
8600000US87745,87745,654
8600000US91330,91330,2702
8600000US72583,72583,1679
8600000US46036,46036,11663
8600000US36535,36535,26767
8600000US84107,84107,30863
8600000US23176,23176,656
8600000US14873,14873,2448
8600000US37153,37153,5520
8600000US14467,14467,9105
8600000US85707,85707,658
8600000US22192,22192,53394
8600000US79091,79091,147
8600000US84766,84766,147
8600000US49683,49683,1939
8600000US66712,66712,1939
8600000US16438,16438,8083
8600000US07522,7522,20883
8600000US33744,33744,148
8600000US32509,32509,660
8600000US95832,95832,11924
8600000US33428,33428,38548
8600000US67018,67018,149
8600000US10603,10603,17045
8600000US49456,49456,18581
8600000US31558,31558,20373
8600000US45244,45244,28565
8600000US78753,78753,49301
8600000US18413,18413,151
8600000US32683,32683,151
8600000US98941,98941,919
8600000US48084,48084,14231
8600000US99722,99722,152
8600000US27805,27805,3992
8600000US21076,21076,12952
8600000US45102,45102,22680
8600000US24226,24226,1433
8600000US32601,32601,18585
8600000US38506,38506,26521
8600000US48307,48307,41369
8600000US92114,92114,65433
8600000US16223,16223,154
8600000US81019,81019,1690
8600000US01542,1542,2202
8600000US22843,22843,2458
8600000US21048,21048,10650
8600000US58102,58102,29850
8600000US77306,77306,11931
8600000US48081,48081,20635
8600000US92389,92389,156
8600000US52621,52621,668
8600000US76708,76708,24476
8600000US75060,75060,45980
8600000US56688,56688,157
8600000US16224,16224,1181
8600000US62849,62849,2205
8600000US33132,33132,11165
8600000US84728,84728,158
8600000US50238,50238,1182
8600000US58270,58270,1950
8600000US19801,19801,16286
8600000US81130,81130,671
8600000US19363,19363,17055
8600000US18944,18944,24479
8600000US91384,91384,29855
8600000US15949,15949,672
8600000US49452,49452,1952
8600000US57246,57246,161
8600000US07764,7764,8097
8600000US57785,57785,9377
8600000US76903,76903,31905
8600000US52573,52573,162
8600000US58048,58048,418
8600000US27935,27935,1698
8600000US65747,65747,3746
8600000US54986,54986,4770
8600000US29910,29910,33954
8600000US94928,94928,43170
8600000US46595,46595,163
8600000US65501,65501,163
8600000US37866,37866,1699
8600000US67107,67107,2979
8600000US75650,75650,8611
8600000US15122,15122,20131
8600000US01905,1905,25251
8600000US94576,94576,164
8600000US56111,56111,420
8600000US47943,47943,932
8600000US56757,56757,932
8600000US25422,25422,1700
8600000US32094,32094,2724
8600000US56118,56118,421
8600000US66406,66406,421
8600000US12469,12469,677
8600000US62090,62090,1189
8600000US55073,55073,3237
8600000US23944,23944,4261
8600000US21863,21863,5029
8600000US81401,81401,22437
8600000US92703,92703,65445
8600000US15725,15725,1446
8600000US40374,40374,1702
8600000US24142,24142,2470
8600000US17980,17980,3238
8600000US45623,45623,3494
8600000US78639,78639,7334
8600000US74834,74834,7590
8600000US24888,24888,167
8600000US97117,97117,679
8600000US66733,66733,2215
8600000US44643,44643,3239
8600000US41832,41832,424
8600000US43116,43116,1448
8600000US99036,99036,1448
8600000US24901,24901,9128
8600000US35903,35903,18088
8600000US32909,32909,30120
8600000US66515,66515,425
8600000US05674,5674,1705
8600000US26812,26812,1705
8600000US21722,21722,5545
8600000US15201,15201,12713
8600000US32952,32952,19881
8600000US30088,30088,25257
8600000US70038,70038,426
8600000US24221,24221,938
8600000US87310,87310,938
8600000US99006,99006,11946
8600000US74836,74836,171
8600000US73557,73557,427
8600000US71751,71751,939
8600000US08701,8701,92843
8600000US40829,40829,172
8600000US62334,62334,172
8600000US32223,32223,23980
8600000US28677,28677,32940
8600000US95224,95224,429
8600000US85320,85320,1197
8600000US80644,80644,2989
8600000US10994,10994,7085
8600000US85390,85390,8621
8600000US84536,84536,1454
8600000US28337,28337,10670
8600000US38663,38663,11950
8600000US04605,4605,12974
8600000US59544,59544,175
8600000US13807,13807,1199
8600000US45303,45303,2223
8600000US12037,12037,4015
8600000US68959,68959,4015
8600000US64052,64052,20911
8600000US32531,32531,5296
8600000US25430,25430,8112
8600000US60015,60015,26800
8600000US43013,43013,1201
8600000US67119,67119,1457
8600000US49920,49920,4273
8600000US36830,36830,33201
8600000US63119,63119,33969
8600000US76063,76063,61361
8600000US65282,65282,178
8600000US73757,73757,178
8600000US78608,78608,434
8600000US83610,83610,946
8600000US04786,4786,1970
8600000US41739,41739,179
8600000US12017,12017,435
8600000US52542,52542,435
8600000US42154,42154,691
8600000US73063,73063,691
8600000US16854,16854,947
8600000US36048,36048,1459
8600000US78017,78017,4787
8600000US25108,25108,692
8600000US59057,59057,692
8600000US30420,30420,1460
8600000US43464,43464,1460
8600000US43549,43549,1460
8600000US48419,48419,2740
8600000US50849,50849,2740
8600000US95358,95358,31668
8600000US30350,30350,34740
8600000US59643,59643,437
8600000US80922,80922,26549
8600000US14708,14708,183
8600000US79535,79535,183
8600000US78829,78829,1207
8600000US45612,45612,5303
8600000US75495,75495,7095
8600000US38736,38736,440
8600000US68322,68322,440
8600000US38454,38454,1208
8600000US23024,23024,8120
8600000US70124,70124,16824
8600000US53546,53546,30648
8600000US64652,64652,441
8600000US58563,58563,1977
8600000US68402,68402,1210
8600000US68739,68739,3002
8600000US19075,19075,7354
8600000US66618,66618,9402
8600000US89107,89107,36282
8600000US24571,24571,1979
8600000US44491,44491,3515
8600000US47172,47172,16059
8600000US33187,33187,16315
8600000US12063,12063,444
8600000US21766,21766,700
8600000US16699,16699,1469
8600000US56243,56243,1725
8600000US28110,28110,50365
8600000US76680,76680,190
8600000US16923,16923,1470
8600000US49460,49460,8126
8600000US70592,70592,18878
8600000US15502,15502,191
8600000US95140,95140,191
8600000US55356,55356,5311
8600000US18628,18628,192
8600000US58444,58444,192
8600000US64681,64681,192
8600000US82421,82421,448
8600000US28717,28717,1729
8600000US06359,6359,5313
8600000US14867,14867,5569
8600000US73107,73107,26561
8600000US70455,70455,1474
8600000US48624,48624,15810
8600000US63556,63556,3779
8600000US37208,37208,16067
8600000US50149,50149,964
8600000US61569,61569,1220
8600000US25320,25320,6084
8600000US75217,75217,80324
8600000US78664,78664,52932
8600000US57474,57474,197
8600000US63458,63458,197
8600000US77950,77950,197
8600000US87499,87499,453
8600000US20181,20181,7877
8600000US19020,19020,55493
8600000US97106,97106,4550
8600000US35160,35160,26822
8600000US59219,59219,199
8600000US79843,79843,2503
8600000US04032,4032,7879
8600000US24649,24649,2760
8600000US06831,6831,14792
8600000US01040,1040,39880
8600000US15562,15562,201
8600000US35760,35760,5065
8600000US75672,75672,17097
8600000US46379,46379,202
8600000US54475,54475,1482
8600000US95249,95249,4042
8600000US78503,78503,21706
8600000US29829,29829,8651
8600000US98626,98626,24523
8600000US17102,17102,7628
8600000US22646,22646,205
8600000US40046,40046,1741
8600000US54009,54009,2509
8600000US56096,56096,3021
8600000US40019,40019,3789
8600000US86351,86351,6349
8600000US32534,32534,14029
8600000US11234,11234,87757
8600000US55901,55901,51917
8600000US59274,59274,206
8600000US38915,38915,4046
8600000US63362,63362,6350
8600000US85931,85931,207
8600000US47837,47837,1231
8600000US40347,40347,2767
8600000US38664,38664,3279
8600000US37825,37825,8399
8600000US33913,33913,17103
8600000US66605,66605,19919
8600000US31787,31787,1488
8600000US39664,39664,2256
8600000US19507,19507,3280
8600000US97232,97232,11472
8600000US95490,95490,13264
8600000US04449,4449,1489
8600000US60043,60043,2513
8600000US89822,89822,2513
8600000US35184,35184,5841
8600000US33065,33065,51921
8600000US59755,59755,210
8600000US82512,82512,210
8600000US50264,50264,466
8600000US06757,6757,2258
8600000US15342,15342,4818
8600000US97496,97496,7634
8600000US94516,94516,211
8600000US79526,79526,979
8600000US07087,7087,66515
8600000US38240,38240,2259
8600000US78203,78203,6099
8600000US02332,2332,15059
8600000US03110,3110,21203
8600000US75247,75247,468
8600000US35097,35097,1748
8600000US15332,15332,8148
8600000US31513,31513,16084
8600000US34972,34972,20180
8600000US55109,55109,31444
8600000US62025,62025,33748
8600000US90011,90011,103892
8600000US49905,49905,2005
8600000US94611,94611,36565
8600000US34997,34997,40405
8600000US74364,74364,1750
8600000US23066,23066,471
8600000US04941,4941,1751
8600000US19510,19510,7639
8600000US60133,60133,38103
8600000US43531,43531,216
8600000US82831,82831,216
8600000US79533,79533,472
8600000US78870,78870,984
8600000US56244,56244,1496
8600000US37080,37080,7384
8600000US86322,86322,11480
8600000US77454,77454,217
8600000US98644,98644,473
8600000US27897,27897,2265
8600000US12549,12549,10201
8600000US54435,54435,2010
8600000US23507,23507,25818
8600000US19460,19460,40154
8600000US78207,78207,55514
8600000US54001,54001,8155
8600000US94947,94947,24283
8600000US42371,42371,476
8600000US38260,38260,3804
8600000US54827,54827,221
8600000US99555,99555,221
8600000US08520,8520,27869
8600000US72341,72341,222
8600000US57314,57314,734
8600000US62545,62545,1246
8600000US40036,40036,223
8600000US92239,92239,223
8600000US39040,39040,3295
8600000US07642,7642,10207
8600000US02842,2842,16095
8600000US79530,79530,480
8600000US02777,2777,15840
8600000US99203,99203,20192
8600000US85613,85613,5601
8600000US84745,84745,4066
8600000US71220,71220,23266
8600000US98512,98512,28130
8600000US38455,38455,227
8600000US62568,62568,16355
8600000US78405,78405,16867
8600000US67065,67065,228
8600000US42280,42280,484
8600000US13033,13033,3556
8600000US66849,66849,485
8600000US74824,74824,1253
8600000US35550,35550,5605
8600000US70422,70422,13797
8600000US30021,30021,21989
8600000US31307,31307,998
8600000US61937,61937,2022
8600000US91710,91710,80358
8600000US04679,4679,1767
8600000US22841,22841,2791
8600000US20005,20005,12775
8600000US28613,28613,22759
8600000US48214,48214,22759
8600000US01089,1089,28391
8600000US11935,11935,3304
8600000US77856,77856,5096
8600000US53119,53119,5608
8600000US01536,1536,6888
8600000US89134,89134,24040
8600000US79046,79046,489
8600000US18106,18106,6889
8600000US62821,62821,7657
8600000US59914,59914,234
8600000US52205,52205,8682
8600000US72110,72110,11498
8600000US06708,6708,29418
8600000US46381,46381,235
8600000US78243,78243,235
8600000US65541,65541,236
8600000US54664,54664,1516
8600000US11233,11233,67053
8600000US36480,36480,1773
8600000US70543,70543,4077
8600000US45875,45875,10989
8600000US38138,38138,24045
8600000US37311,37311,27373
8600000US24938,24938,1518
8600000US11753,11753,12014
8600000US40203,40203,19694
8600000US94070,94070,29166
8600000US98946,98946,495
8600000US12434,12434,751
8600000US39653,39653,2799
8600000US63448,63448,1520
8600000US54819,54819,2544
8600000US45767,45767,2800
8600000US84117,84117,24305
8600000US57376,57376,1010
8600000US57059,57059,1522
8600000US54128,54128,1778
8600000US98857,98857,4082
8600000US30161,30161,35058
8600000US62994,62994,755
8600000US72928,72928,755
8600000US98840,98840,4851
8600000US32222,32222,8691
8600000US43452,43452,13811
8600000US31833,31833,6900
8600000US97426,97426,9716
8600000US12724,12724,245
8600000US68360,68360,501
8600000US57339,57339,1525
8600000US70446,70446,5877
8600000US92173,92173,29429
8600000US06438,6438,2550
8600000US07712,7712,39158
8600000US66942,66942,247
8600000US62684,62684,5111
8600000US89074,89074,47095
8600000US60034,60034,2040
8600000US97906,97906,249
8600000US62688,62688,761
8600000US41822,41822,2553
8600000US10474,10474,12281
8600000US11566,11566,35321
8600000US55407,55407,37881
8600000US79730,79730,250
8600000US06241,6241,6650
8600000US74145,74145,17402
8600000US66032,66032,5115
8600000US98443,98443,5371
8600000US82240,82240,10235
8600000US77063,77063,34299
8600000US56257,56257,508
8600000US38754,38754,1532
8600000US51559,51559,1788
8600000US81524,81524,2300
8600000US12009,12009,7164
8600000US36104,36104,9468
8600000US58760,58760,254
8600000US96044,96044,1022
8600000US05452,5452,19710
8600000US47905,47905,38910
8600000US50155,50155,255
8600000US99780,99780,1535
8600000US79357,79357,2303
8600000US50525,50525,3583
8600000US46534,46534,11263
8600000US97386,97386,13567
8600000US26241,26241,14591
8600000US38606,38606,16127
